Geographic code;Geographic name;Geographic Type;Geographic Name, province or territory;Geographic Code, province or territory;Geographic code, census division;Geographic code, census metropolitan area or census agglomeration;Global non-response rate;Data quality flag;Age;Sex;Total population;Period of immigration - Non-immigrants (2016 counts);Period of immigration - Immigrants (2016 counts);Period of immigration - Before 2001 (2016 counts);Period of immigration - 2001 to 2005 (2016 counts);Period of immigration - 2006 to 2010 (2016 counts);Period of immigration - 2011 to 2016 (2016 counts);Period of immigration - Non-permanent residents (2016 counts);Total population (% distribution 2016);Period of immigration - Non-immigrants (% distribution 2016);Period of immigration - Immigrants (% distribution 2016);Period of immigration - Before 2001 (% distribution 2016);Period of immigration - 2001 to 2005 (% distribution 2016);Period of immigration - 2006 to 2010 (% distribution 2016);Period of immigration - 2011 to 2016 (% distribution 2016);Period of immigration - Non-permanent residents (% distribution 2016)
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;0 to 14;Male;700;680;25;0;0;0;20;0;100;97.1;3.6;0;0;0;2.9;0
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;65 to 74;Male;285;275;10;10;10;0;0;0;100;96.5;3.5;3.5;3.5;0;0;0
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;45 to 54;Male;580;560;15;0;10;0;10;10;100;96.6;2.6;0;1.7;0;1.7;1.7
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;25 to 34;Male;610;545;50;10;0;0;40;20;100;89.3;8.2;1.6;0;0;6.6;3.3
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;35 to 44;Male;635;570;35;10;0;0;30;30;100;89.8;5.5;1.6;0;0;4.7;4.7
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;0 to 14;Female;650;615;35;0;0;10;30;0;100;94.6;5.4;0;0;1.5;4.6;0
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;15 to 24;Male;430;425;10;0;0;0;10;0;100;98.8;2.3;0;0;0;2.3;0
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;55 to 64;Male;440;430;10;10;0;0;0;0;100;97.7;2.3;2.3;0;0;0;0
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;25 to 34;Female;545;485;40;0;0;0;35;20;100;89;7.3;0;0;0;6.4;3.7
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;35 to 44;Female;570;530;35;0;0;15;20;10;100;93;6.1;0;0;2.6;3.5;1.8
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;45 to 54;Female;570;540;20;10;0;0;0;15;100;94.7;3.5;1.8;0;0;0;2.6
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;15 to 24;Female;360;335;25;0;0;0;20;0;100;93.1;6.9;0;0;0;5.6;0
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;55 to 64;Female;475;455;15;15;0;0;0;0;100;95.8;3.2;3.2;0;0;0;0
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;65 to 74;Female;235;225;10;10;0;0;0;0;100;95.7;4.3;4.3;0;0;0;0
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;75 years and over;Male;50;45;0;10;0;0;0;0;100;90;0;20;0;0;0;0
1010032;Labrador City;Town;Newfoundland and Labrador;10;10;;3.2;0;75 years and over;Female;50;50;0;0;0;0;0;0;100;100;0;0;0;0;0;0
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;0 to 14;Male;2505;2140;330;0;10;55;265;40;100;85.4;13.2;0;0.4;2.2;10.6;1.6
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;55 to 64;Male;2345;2110;225;140;10;35;40;10;100;90;9.6;6;0.4;1.5;1.7;0.4
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;25 to 34;Male;2410;1985;265;30;15;45;175;160;100;82.4;11;1.2;0.6;1.9;7.3;6.6
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;45 to 54;Male;2160;1745;400;70;30;115;185;15;100;80.8;18.5;3.2;1.4;5.3;8.6;0.7
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;65 to 74;Male;1660;1540;120;95;10;10;0;0;100;92.8;7.2;5.7;0.6;0.6;0;0
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;0 to 14;Female;2485;2160;290;0;10;40;245;40;100;86.9;11.7;0;0.4;1.6;9.9;1.6
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;15 to 24;Male;2530;2065;290;10;20;70;190;175;100;81.6;11.5;0.4;0.8;2.8;7.5;6.9
